City,Latitude,Longitude
Rincon de la victoria,36.720,-4.310
La vall d'uixo,39.820,-0.240
Leioa,43.330,-3.000
Olot,42.190,2.480
San andres del rabanedo,42.620,-5.610
Tortosa,40.830,0.520
Redondela,42.280,-8.600
Aguilas,37.410,-1.590
Totana,37.770,-1.500
Xirivella,39.480,-0.410
Puente genil,37.390,-4.770
Carballo,43.220,-8.690
Burriana,39.890,-0.100
Arcos de la frontera,36.760,-5.810
Torre-pacheco,37.740,-0.960
Novelda,38.390,-0.780
Marratxi,39.650,2.800
Almendralejo,38.680,-6.410
Moron de la frontera,37.130,-5.460
Premia de mar,41.500,2.380
Eibar,43.190,-2.450
Alcazar de san juan,39.390,-3.210
Alhaurin de la torre,36.670,-4.550
El vendrell,41.230,1.520
Xativa,39.000,-0.530
Barbera del valles,41.520,2.120
Martorell,41.470,1.930
Llucmajor,39.490,2.880
Valdepenas,38.760,-3.390
Carmona,37.480,-5.630
Villaviciosa de odon,40.360,-3.890
Crevillent,38.260,-0.810
Aldaia,39.470,-0.460
Sant pere de ribes,41.270,1.770
Sueca,39.210,-0.320
Manises,39.490,-0.450
Arteixo,43.300,-8.510
Sant vicenc dels horts,41.400,2.010
Camargo,43.400,-3.900
Durango,43.180,-2.630
Ribeira,42.800,-8.950
Sant andreu de la barca,41.450,1.970
Cangas,42.280,-8.780
Inca,39.720,2.910
Jumilla,38.480,-1.340
Culleredo,43.290,-8.390
Caravaca de la cruz,38.110,-1.870
Ingenio,27.920,-15.440
San roque,36.220,-5.400
Quart de poblet,39.490,-0.440
Rota,36.630,-6.360
Villanueva de la serena,38.980,-5.800
La vila joiosa,38.510,-0.240
Camas,37.400,-6.020
Marin,42.400,-8.700
Coria del rio,37.300,-6.060
Mahon,39.890,4.250
Mazarron,37.600,-1.320
Ciutadella de menorca,40.000,3.830
Lebrija,36.930,-6.080
Algemesi,39.200,-0.440
Castro-urdiales,43.390,-3.220
Baza,37.500,-2.790
Villarrobledo,39.270,-2.610
Azuqueca de henares,40.570,-3.270
Cambrils,41.080,1.050
Ibi,38.640,-0.570
Calahorra,42.340,-2.080
Pineda de mar,41.630,2.690
Adra,36.760,-3.020
Santa perpetua de mogoda,41.540,2.180
Almansa,38.870,-1.110
Granadilla de abona,28.110,-16.580
Priego de cordoba,37.430,-4.200
Montilla,37.600,-4.640
San javier,37.810,-0.840
Molins de rei,41.420,2.010
Lloret de mar,41.700,2.850
Benicarlo,40.430,0.410
A estrada,42.700,-8.500
Galdar,28.150,-15.660
Icod de los vinos,28.360,-16.700
Santa pola,38.190,-0.560
Castrillon,43.400,-6.800
Arrasate,43.080,-2.490
Calp,38.660,0.050
Zarautz,43.290,-2.170
Catarroja,39.400,-0.390
Onda,39.960,-0.270
Vinaros,40.490,0.460
